,time_of_experiment,scanner_status,advertiser_status,RSSI,distance
0,2020-07-17 19:31:01.422788,3,3,-70,8
0,2020-07-17 19:31:03.427803,3,3,-74,8
0,2020-07-17 19:31:05.432687,3,3,-72,8
0,2020-07-17 19:31:07.437753,3,3,-77,8
0,2020-07-17 19:31:09.442695,3,3,-71,8
0,2020-07-17 19:31:11.447737,3,3,-75,8
0,2020-07-17 19:31:13.452796,3,3,-77,8
0,2020-07-17 19:31:15.457762,3,3,-77,8
0,2020-07-17 19:31:17.462796,3,3,-70,8
0,2020-07-17 19:31:19.467845,3,3,-73,8
0,2020-07-17 19:31:21.472841,3,3,-70,8
0,2020-07-17 19:31:23.477838,3,3,-70,8
0,2020-07-17 19:31:25.482911,3,3,-75,8
0,2020-07-17 19:31:27.487888,3,3,-76,8
0,2020-07-17 19:31:29.492897,3,3,-70,8
0,2020-07-17 19:31:31.497996,3,3,-70,8
0,2020-07-17 19:31:33.503030,3,3,-76,8
0,2020-07-17 19:31:35.507978,3,3,-76,8
0,2020-07-17 19:31:37.513045,3,3,-70,8
0,2020-07-17 19:31:39.518087,3,3,-70,8
0,2020-07-17 19:31:41.523081,3,3,-75,8
0,2020-07-17 19:31:43.528120,3,3,-70,8
0,2020-07-17 19:31:45.533089,3,3,-77,8
0,2020-07-17 19:31:47.538366,3,3,-79,8
0,2020-07-17 19:31:49.543341,3,3,-70,8
0,2020-07-17 19:31:51.548214,3,3,-70,8
0,2020-07-17 19:31:53.553184,3,3,-73,8
0,2020-07-17 19:31:55.558366,3,3,-75,8
0,2020-07-17 19:31:57.563377,3,3,-74,8
0,2020-07-17 19:31:58.464484,3,3,-77,8
0,2020-07-17 19:32:00.469533,3,3,-76,8
0,2020-07-17 19:32:02.474670,3,3,-71,8
0,2020-07-17 19:32:03.994658,3,3,-71,8
0,2020-07-17 19:32:04.070778,3,3,-74,8
0,2020-07-17 19:32:06.075989,3,3,-71,8
0,2020-07-17 19:32:08.080921,3,3,-71,8
0,2020-07-17 19:32:10.085932,3,3,-76,8
0,2020-07-17 19:32:12.091010,3,3,-75,8
0,2020-07-17 19:32:14.096112,3,3,-71,8
0,2020-07-17 19:32:16.101019,3,3,-70,8
0,2020-07-17 19:32:18.106066,3,3,-72,8
0,2020-07-17 19:32:20.111072,3,3,-71,8
0,2020-07-17 19:32:22.115555,3,3,-71,8
0,2020-07-17 19:32:24.121052,3,3,-71,8
0,2020-07-17 19:32:26.126206,3,3,-76,8
0,2020-07-17 19:32:28.131140,3,3,-77,8
0,2020-07-17 19:32:30.136277,3,3,-72,8
0,2020-07-17 19:32:32.141161,3,3,-71,8
0,2020-07-17 19:32:34.146242,3,3,-77,8
0,2020-07-17 19:32:36.151249,3,3,-78,8
0,2020-07-17 19:32:38.156373,3,3,-78,8
0,2020-07-17 19:32:40.161382,3,3,-71,8
0,2020-07-17 19:32:42.165756,3,3,-72,8
0,2020-07-17 19:32:44.171334,3,3,-78,8
0,2020-07-17 19:32:46.175830,3,3,-75,8
0,2020-07-17 19:32:48.181317,3,3,-75,8
0,2020-07-17 19:32:50.186485,3,3,-71,8
0,2020-07-17 19:32:52.191525,3,3,-75,8
0,2020-07-17 19:32:54.195769,3,3,-77,8
0,2020-07-17 19:32:56.201463,3,3,-71,8
0,2020-07-17 19:32:58.206532,3,3,-76,8
0,2020-07-17 19:33:00.211618,3,3,-77,8
0,2020-07-17 19:33:02.215949,3,3,-71,8
0,2020-07-17 19:33:04.221500,3,3,-75,8
0,2020-07-17 19:33:06.226636,3,3,-77,8
0,2020-07-17 19:33:08.231734,3,3,-77,8
0,2020-07-17 19:33:10.236632,3,3,-76,8
0,2020-07-17 19:33:12.241594,3,3,-70,8
0,2020-07-17 19:33:14.246772,3,3,-73,8
0,2020-07-17 19:33:16.251832,3,3,-74,8
0,2020-07-17 19:33:18.256013,3,3,-76,8
0,2020-07-17 19:33:20.261739,3,3,-70,8
0,2020-07-17 19:33:22.266187,3,3,-76,8
0,2020-07-17 19:33:24.271912,3,3,-70,8
0,2020-07-17 19:33:26.276199,3,3,-74,8
0,2020-07-17 19:33:28.281763,3,3,-75,8
0,2020-07-17 19:33:30.286962,3,3,-71,8
0,2020-07-17 19:33:32.292012,3,3,-76,8
0,2020-07-17 19:33:34.296208,3,3,-70,8
0,2020-07-17 19:33:36.301868,3,3,-70,8
0,2020-07-17 19:33:38.306387,3,3,-70,8
0,2020-07-17 19:33:40.312101,3,3,-73,8
0,2020-07-17 19:33:42.316305,3,3,-70,8
0,2020-07-17 19:33:44.322089,3,3,-74,8
0,2020-07-17 19:33:46.326378,3,3,-74,8
0,2020-07-17 19:33:48.332176,3,3,-74,8
0,2020-07-17 19:33:50.336482,3,3,-75,8
0,2020-07-17 19:33:52.342156,3,3,-74,8
0,2020-07-17 19:33:54.346471,3,3,-76,8
0,2020-07-17 19:33:56.351642,3,3,-75,8
0,2020-07-17 19:33:58.357180,3,3,-75,8
0,2020-07-17 19:34:00.362247,3,3,-74,8
0,2020-07-17 19:34:02.367297,3,3,-71,8
0,2020-07-17 19:34:04.372356,3,3,-74,8
0,2020-07-17 19:34:06.376574,3,3,-70,8
0,2020-07-17 19:34:08.382362,3,3,-74,8
0,2020-07-17 19:34:10.386644,3,3,-71,8
0,2020-07-17 19:34:12.392429,3,3,-70,8
0,2020-07-17 19:34:14.396705,3,3,-74,8
0,2020-07-17 19:34:16.402429,3,3,-73,8
0,2020-07-17 19:34:17.319805,3,3,-73,8
0,2020-07-17 19:34:19.325011,3,3,-78,8
0,2020-07-17 19:34:21.330022,3,3,-75,8
0,2020-07-17 19:34:23.334884,3,3,-72,8
0,2020-07-17 19:34:25.340052,3,3,-70,8
0,2020-07-17 19:34:27.345134,3,3,-73,8
0,2020-07-17 19:34:29.349955,3,3,-75,8
0,2020-07-17 19:34:31.355120,3,3,-72,8
0,2020-07-17 19:34:33.360080,3,3,-72,8
0,2020-07-17 19:34:35.365215,3,3,-70,8
0,2020-07-17 19:34:37.370056,3,3,-76,8
0,2020-07-17 19:34:39.375249,3,3,-70,8
0,2020-07-17 19:34:41.380192,3,3,-73,8
0,2020-07-17 19:34:43.385282,3,3,-69,8
0,2020-07-17 19:34:45.390210,3,3,-72,8
0,2020-07-17 19:34:47.395277,3,3,-73,8
0,2020-07-17 19:34:49.400263,3,3,-72,8
0,2020-07-17 19:34:51.405409,3,3,-74,8
0,2020-07-17 19:34:53.410233,3,3,-76,8
0,2020-07-17 19:34:55.415355,3,3,-72,8
0,2020-07-17 19:34:57.420334,3,3,-73,8
0,2020-07-17 19:34:59.425470,3,3,-75,8
0,2020-07-17 19:35:01.430435,3,3,-70,8
0,2020-07-17 19:35:03.435488,3,3,-73,8
0,2020-07-17 19:35:05.439288,3,3,-73,8
0,2020-07-17 19:35:07.444212,3,3,-69,8
0,2020-07-17 19:35:09.449290,3,3,-75,8
0,2020-07-17 19:35:11.454327,3,3,-72,8
0,2020-07-17 19:35:13.459383,3,3,-71,8
0,2020-07-17 19:35:15.464297,3,3,-72,8
0,2020-07-17 19:35:17.469240,3,3,-75,8
0,2020-07-17 19:35:19.474394,3,3,-75,8
0,2020-07-17 19:35:21.479487,3,3,-71,8
0,2020-07-17 19:35:23.484330,3,3,-73,8
0,2020-07-17 19:35:25.489328,3,3,-70,8
0,2020-07-17 19:35:27.494503,3,3,-73,8
0,2020-07-17 19:35:29.499539,3,3,-75,8
0,2020-07-17 19:35:31.504433,3,3,-75,8
0,2020-07-17 19:35:33.509466,3,3,-69,8
0,2020-07-17 19:35:35.514597,3,3,-72,8
0,2020-07-17 19:35:37.519665,3,3,-74,8
0,2020-07-17 19:35:39.524564,3,3,-75,8
0,2020-07-17 19:35:41.529544,3,3,-75,8
0,2020-07-17 19:35:43.534643,3,3,-75,8
0,2020-07-17 19:35:45.539766,3,3,-71,8
0,2020-07-17 19:35:47.544604,3,3,-75,8
0,2020-07-17 19:35:49.549600,3,3,-75,8
0,2020-07-17 19:35:51.554778,3,3,-69,8
0,2020-07-17 19:35:53.559815,3,3,-72,8
0,2020-07-17 19:35:55.564679,3,3,-72,8
